Title,Winner,Award,Year
"Kate Winslet",N,Supporting Actress,1995
"Forrest Gump",Y,Picture,1994
"Four Weddings and a Funeral",N,Picture,1994
"Pulp Fiction",N,Picture,1994
"Quiz Show",N,Picture,1994
"The Shawshank Redemption",N,Picture,1994
"Tom Hanks",Y,Actor,1994
"Morgan Freeman",N,Actor,1994
"Nigel Hawthorne",N,Actor,1994
"Paul Newman",N,Actor,1994
"John Travolta",N,Actor,1994
"Jessica Lange",Y,Actress,1994
"Jodie Foster",N,Actress,1994
"Miranda Richardson",N,Actress,1994
"Winona Ryder",N,Actress,1994
"Susan Sarandon",N,Actress,1994
"Martin Landau",Y,Supporting Actor,1994
"Samuel L. Jackson",N,Supporting Actor,1994
"Chazz Palminteri",N,Supporting Actor,1994
"Paul Scofield",N,Supporting Actor,1994
"Gary Sinise",N,Supporting Actor,1994
"Dianne Wiest",Y,Supporting Actress,1994
"Rosemary Harris",N,Supporting Actress,1994
"Helen Mirren",N,Supporting Actress,1994
"Uma Thurman",N,Supporting Actress,1994
"Jennifer Tilly",N,Supporting Actress,1994
"Schindler's List",Y,Picture,1993
"In the Name of the Father",N,Picture,1993
"The Fugitive",N,Picture,1993
"The Piano",N,Picture,1993
"The Remains of the Day",N,Picture,1993
"Tom Hanks",Y,Actor,1993
"Daniel Day-Lewis",N,Actor,1993
"Laurence Fishburne",N,Actor,1993
"Anthony Hopkins",N,Actor,1993
"Liam Neeson",N,Actor,1993
"Holly Hunter",Y,Actress,1993
"Angela Bassett",N,Actress,1993
"Stockard Channing",N,Actress,1993
"Emma Thompson",N,Actress,1993
"Debra Winger",N,Actress,1993
"Tommy Lee Jones",Y,Supporting Actor,1993
"Leonardo DiCaprio",N,Supporting Actor,1993
"Ralph Fiennes",N,Supporting Actor,1993
"John Malkovich",N,Supporting Actor,1993
"Pete Postlethwaite",N,Supporting Actor,1993
"Anna Paquin",Y,Supporting Actress,1993
"Holly Hunter",N,Supporting Actress,1993
"Rosie Perez",N,Supporting Actress,1993
"Winona Ryder",N,Supporting Actress,1993
"Emma Thompson",N,Supporting Actress,1993
"Unforgiven",Y,Picture,1992
"A Few Good Men",N,Picture,1992
"Howards End",N,Picture,1992
"Scent of a Woman",N,Picture,1992
"The Crying Game",N,Picture,1992
"Al Pacino",Y,Actor,1992
"Robert Downey Jr.",N,Actor,1992
"Clint Eastwood",N,Actor,1992
"Stephen Rea",N,Actor,1992
"Denzel Washington",N,Actor,1992
"Emma Thompson",Y,Actress,1992
"Catherine Deneuve",N,Actress,1992
"Mary McDonnell",N,Actress,1992
"Michelle Pfeiffer",N,Actress,1992
"Susan Sarandon",N,Actress,1992
"Gene Hackman",Y,Supporting Actor,1992
"Jaye Davidson",N,Supporting Actor,1992
"Jack Nicholson",N,Supporting Actor,1992
"Al Pacino",N,Supporting Actor,1992
"David Paymer",N,Supporting Actor,1992
"Marisa Tomei",Y,Supporting Actress,1992
"Judy Davis",N,Supporting Actress,1992
"Joan Plowright",N,Supporting Actress,1992
"Vanessa Redgrave",N,Supporting Actress,1992
"Miranda Richardson",N,Supporting Actress,1992
"The Silence of the Lambs",Y,Picture,1991
"Beauty and the Beast",N,Picture,1991
"Bugsy",N,Picture,1991
"JFK",N,Picture,1991
"The Prince of Tides",N,Picture,1991
"Anthony Hopkins",Y,Actor,1991
"Warren Beatty",N,Actor,1991
"Robert De Niro",N,Actor,1991
"Nick Nolte",N,Actor,1991
"Robin Williams",N,Actor,1991
"Jodie Foster",Y,Actress,1991
"Geena Davis",N,Actress,1991
"Laura Dern",N,Actress,1991
"Bette Midler",N,Actress,1991
"Susan Sarandon",N,Actress,1991
"Jack Palance",Y,Supporting Actor,1991
"Tommy Lee Jones",N,Supporting Actor,1991
"Harvey Keitel",N,Supporting Actor,1991
"Ben Kingsley",N,Supporting Actor,1991
"Michael Lerner",N,Supporting Actor,1991
"Mercedes Ruehl",Y,Supporting Actress,1991
"Diane Ladd",N,Supporting Actress,1991
"Juliette Lewis",N,Supporting Actress,1991
"Kate Nelligan",N,Supporting Actress,1991
"Jessica Tandy",N,Supporting Actress,1991
"Dances with Wolves",Y,Picture,1990
"Awakenings",N,Picture,1990
"Ghost",N,Picture,1990
"Goodfellas",N,Picture,1990
"The Godfather Part III",N,Picture,1990
"Jeremy Irons",Y,Actor,1990
"Kevin Costner",N,Actor,1990
"Robert De Niro",N,Actor,1990
"Gérard Depardieu",N,Actor,1990
"Richard Harris",N,Actor,1990
"Kathy Bates",Y,Actress,1990
"Anjelica Huston",N,Actress,1990
"Julia Roberts",N,Actress,1990
"Meryl Streep",N,Actress,1990
"Joanne Woodward",N,Actress,1990
"Joe Pesci",Y,Supporting Actor,1990
"Bruce Davison",N,Supporting Actor,1990
"Andy García",N,Supporting Actor,1990
"Graham Greene",N,Supporting Actor,1990
"Al Pacino",N,Supporting Actor,1990
"Whoopi Goldberg",Y,Supporting Actress,1990
"Annette Bening",N,Supporting Actress,1990
"Lorraine Bracco",N,Supporting Actress,1990
"Diane Ladd",N,Supporting Actress,1990
"Mary McDonnell",N,Supporting Actress,1990
"Driving Miss Daisy",Y,Picture,1989
"Born on the Fourth of July",N,Picture,1989
"Dead Poets Society",N,Picture,1989
"Field of Dreams",N,Picture,1989
"My Left Foot",N,Picture,1989
"Daniel Day-Lewis",Y,Actor,1989
"Kenneth Branagh",N,Actor,1989
"Tom Cruise",N,Actor,1989
"Morgan Freeman",N,Actor,1989
"Robin Williams",N,Actor,1989
"Jessica Tandy",Y,Actress,1989
"Isabelle Adjani",N,Actress,1989
"Pauline Collins",N,Actress,1989
"Jessica Lange",N,Actress,1989
"Michelle Pfeiffer",N,Actress,1989
"Denzel Washington",Y,Supporting Actor,1989
"Danny Aiello",N,Supporting Actor,1989
"Dan Aykroyd",N,Supporting Actor,1989
"Marlon Brando",N,Supporting Actor,1989
"Martin Landau",N,Supporting Actor,1989
"Brenda Fricker",Y,Supporting Actress,1989
"Anjelica Huston",N,Supporting Actress,1989
"Lena Olin",N,Supporting Actress,1989
"Julia Roberts",N,Supporting Actress,1989
"Dianne Wiest",N,Supporting Actress,1989
"Rain Man",Y,Picture,1988
"Dangerous Liaisons",N,Picture,1988
"Mississippi Burning",N,Picture,1988
"The Accidental Tourist",N,Picture,1988
"Working Girl",N,Picture,1988
"Dustin Hoffman",Y,Actor,1988
"Gene Hackman",N,Actor,1988
"Tom Hanks",N,Actor,1988
"Edward James Olmos",N,Actor,1988
"Max von Sydow",N,Actor,1988
"Jodie Foster",Y,Actress,1988
"Glenn Close",N,Actress,1988
"Melanie Griffith",N,Actress,1988
"Meryl Streep",N,Actress,1988
"Sigourney Weaver",N,Actress,1988
"Kevin Kline",Y,Supporting Actor,1988
"Alec Guinness",N,Supporting Actor,1988
"Martin Landau",N,Supporting Actor,1988
"River Phoenix",N,Supporting Actor,1988
"Dean Stockwell",N,Supporting Actor,1988
"Geena Davis",Y,Supporting Actress,1988
"Joan Cusack",N,Supporting Actress,1988
"Frances McDormand",N,Supporting Actress,1988
"Michelle Pfeiffer",N,Supporting Actress,1988
"Sigourney Weaver",N,Supporting Actress,1988
"The Last Emperor",Y,Picture,1987
"Broadcast News",N,Picture,1987
"Fatal Attraction",N,Picture,1987
"Hope and Glory",N,Picture,1987
"Moonstruck",N,Picture,1987
"Michael Douglas",Y,Actor,1987
"William Hurt",N,Actor,1987
"Marcello Mastroianni",N,Actor,1987
"Jack Nicholson",N,Actor,1987
"Robin Williams",N,Actor,1987
"Cher",Y,Actress,1987
"Glenn Close",N,Actress,1987
"Holly Hunter",N,Actress,1987
"Sally Kirkland",N,Actress,1987
"Meryl Streep",N,Actress,1987
"Sean Connery",Y,Supporting Actor,1987
"Albert Brooks",N,Supporting Actor,1987
"Morgan Freeman",N,Supporting Actor,1987
"Vincent Gardenia",N,Supporting Actor,1987
"Denzel Washington",N,Supporting Actor,1987
"Olympia Dukakis",Y,Supporting Actress,1987
"Norma Aleandro",N,Supporting Actress,1987
"Anne Archer",N,Supporting Actress,1987
"Anne Ramsey",N,Supporting Actress,1987
"Ann Sothern",N,Supporting Actress,1987
"Platoon",Y,Picture,1986
"A Room with a View",N,Picture,1986
"Children of a Lesser God",N,Picture,1986
"Hannah and Her Sisters",N,Picture,1986
"The Mission",N,Picture,1986
"Paul Newman",Y,Actor,1986
"Dexter Gordon",N,Actor,1986
"Bob Hoskins",N,Actor,1986
"William Hurt",N,Actor,1986
"James Woods",N,Actor,1986
"Marlee Matlin",Y,Actress,1986
"Jane Fonda",N,Actress,1986
"Sissy Spacek",N,Actress,1986
"Kathleen Turner",N,Actress,1986
"Sigourney Weaver",N,Actress,1986
"Michael Caine",Y,Supporting Actor,1986
"Tom Berenger",N,Supporting Actor,1986
"Willem Dafoe",N,Supporting Actor,1986
"Denholm Elliott",N,Supporting Actor,1986
"Dennis Hopper",N,Supporting Actor,1986
"Dianne Wiest",Y,Supporting Actress,1986
"Tess Harper",N,Supporting Actress,1986
"Piper Laurie",N,Supporting Actress,1986
"Mary Elizabeth Mastrantonio",N,Supporting Actress,1986
"Maggie Smith",N,Supporting Actress,1986
"Out of Africa",Y,Picture,1985
"Kiss of the Spider Woman",N,Picture,1985
"Prizzi's Honor",N,Picture,1985
"The Color Purple",N,Picture,1985
"Witness",N,Picture,1985
"William Hurt",Y,Actor,1985
"Harrison Ford",N,Actor,1985
"James Garner",N,Actor,1985
"Jack Nicholson",N,Actor,1985
"Jon Voight",N,Actor,1985
"Geraldine Page",Y,Actress,1985
"Anne Bancroft",N,Actress,1985
"Whoopi Goldberg",N,Actress,1985
"Jessica Lange",N,Actress,1985
"Meryl Streep",N,Actress,1985
"Don Ameche",Y,Supporting Actor,1985
"Klaus Maria Brandauer",N,Supporting Actor,1985
"William Hickey",N,Supporting Actor,1985
"Robert Loggia",N,Supporting Actor,1985
"Eric Roberts",N,Supporting Actor,1985
"Anjelica Huston",Y,Supporting Actress,1985
"Margaret Avery",N,Supporting Actress,1985
"Amy Madigan",N,Supporting Actress,1985
"Meg Tilly",N,Supporting Actress,1985
"Oprah Winfrey",N,Supporting Actress,1985
"Amadeus",Y,Picture,1984
"A Passage to India",N,Picture,1984
"A Soldier's Story",N,Picture,1984
"Places in the Heart",N,Picture,1984
"The Killing Fields",N,Picture,1984
"F. Murray Abraham",Y,Actor,1984
"Jeff Bridges",N,Actor,1984
"Albert Finney",N,Actor,1984
"Tom Hulce",N,Actor,1984
